Timestamp,Gender,Age,Occupation,Salary,Mobile_Operating_System,Game_Use,SocialMedia_Use,Entertainment_Use,Camera_Use,NewPhone_Brand,BrandChoice_Reason
1/13/2024 14:41:25,หญิง,21-25 ปี,เอกชน,"40,001-50,000 บาท",IOS,บ่อยครั้ง,บ่อยที่สุด,ปานกลาง,ค่อนข้างน้อย,Iphone,ดูรวยดีย์
1/13/2024 15:01:08,ชาย,26-30 ปี,เอกชน,"30,001-40,000 บาท",IOS,ค่อนข้างน้อย,บ่อยที่สุด,ปานกลาง,ปานกลาง,Iphone,ความเสถียร
1/13/2024 15:01:44,ชาย,31-35 ปี,เอกชน,"40,001-50,000 บาท",IOS,น้อยที่สุด,ปานกลาง,ปานกลาง,น้อยที่สุด,Iphone,คุ้นเคยกับ Brand เดิม
1/13/2024 15:01:48,ชาย,21-25 ปี,เอกชน,"30,001-40,000 บาท",IOS,น้อยที่สุด,ปานกลาง,ปานกลาง,น้อยที่สุด,Iphone,ง่ายต่อการใช้งาน
1/13/2024 15:01:49,ชาย,21-25 ปี,ว่างงาน,"น้อยกว่า 20,000 บาท",IOS,ปานกลาง,บ่อยครั้ง,ค่อนข้างน้อย,ค่อนข้างน้อย,Iphone,ดี ทน
1/13/2024 15:01:51,หญิง,21-25 ปี,เอกชน,"30,001-40,000 บาท",IOS,น้อยที่สุด,บ่อยที่สุด,บ่อยที่สุด,บ่อยครั้ง,Iphone,ความเสถียร และความปลอดภัย
1/13/2024 15:01:52,หญิง,21-25 ปี,เอกชน,"20,001-30,000 บาท",IOS,น้อยที่สุด,บ่อยที่สุด,ปานกลาง,บ่อยครั้ง,Iphone,ชอบ
1/13/2024 15:01:53,ชาย,21-25 ปี,เอกชน,"40,001-50,000 บาท",IOS,น้อยที่สุด,บ่อยที่สุด,บ่อยที่สุด,ปานกลาง,Iphone,ความสวยงาม UI ทันสมัย กล้องดี
1/13/2024 15:01:57,หญิง,31-35 ปี,เอกชน,"30,001-40,000 บาท",Android,บ่อยครั้ง,บ่อยที่สุด,บ่อยครั้ง,บ่อยครั้ง,Samsung,กล้อง รูปลักษณ์​
1/13/2024 15:01:59,หญิง,21-25 ปี,เอกชน,"20,001-30,000 บาท",IOS,ปานกลาง,บ่อยครั้ง,บ่อยครั้ง,ปานกลาง,Iphone,ความเคยชิน
1/13/2024 15:01:59,ชาย,26-30 ปี,เอกชน,"40,001-50,000 บาท",IOS,บ่อยที่สุด,บ่อยที่สุด,บ่อยครั้ง,ปานกลาง,Iphone,คุ้นเคยกับระบบที่ใช้
1/13/2024 15:02:02,หญิง,26-30 ปี,นักศึกษา,"น้อยกว่า 20,000 บาท",IOS,ค่อนข้างน้อย,บ่อยที่สุด,บ่อยครั้ง,บ่อยครั้ง,Iphone,ชอบและเคยชินกับระบบ
1/13/2024 15:02:08,ชาย,26-30 ปี,เอกชน,"มากกว่า 60,000 บาท",IOS,บ่อยครั้ง,บ่อยที่สุด,ปานกลาง,น้อยที่สุด,Iphone,Seamless transfer
1/13/2024 15:02:10,หญิง,26-30 ปี,เอกชน,"30,001-40,000 บาท",IOS,น้อยที่สุด,บ่อยที่สุด,บ่อยที่สุด,บ่อยที่สุด,Iphone,ใช้ได้นาน ค่าซ่อมถูก
1/13/2024 15:02:12,ชาย,26-30 ปี,เอกชน,"20,001-30,000 บาท",IOS,บ่อยครั้ง,บ่อยที่สุด,บ่อยครั้ง,ปานกลาง,Iphone,Brand royalty
1/13/2024 15:02:13,หญิง,21-25 ปี,เอกชน,"น้อยกว่า 20,000 บาท",IOS,น้อยที่สุด,บ่อยที่สุด,บ่อยครั้ง,บ่อยครั้ง,Iphone,คุ้นชินในระบบปฏิบัติการแล้ว
1/13/2024 15:02:17,ชาย,26-30 ปี,นักศึกษา,"20,001-30,000 บาท",IOS,น้อยที่สุด,บ่อยที่สุด,บ่อยที่สุด,ค่อนข้างน้อย,Oneplus,ต้องการเปลี่ยนยี่ห้อ
1/13/2024 15:02:18,หญิง,26-30 ปี,เอกชน,"20,001-30,000 บาท",IOS,น้อยที่สุด,บ่อยที่สุด,บ่อยครั้ง,ปานกลาง,Iphone,ความเสถียรของระบบปฏิบัติการและความสวยงามของดีไซน์
1/13/2024 15:02:26,หญิง,36-40 ปี,เอกชน,"40,001-50,000 บาท",IOS,น้อยที่สุด,บ่อยที่สุด,บ่อยครั้ง,บ่อยครั้ง,Iphone,Ecosystem ของApple
1/13/2024 15:02:27,ชาย,31-35 ปี,รัฐวิสาหกิจ,"40,001-50,000 บาท",IOS,ปานกลาง,บ่อยที่สุด,บ่อยครั้ง,บ่อยครั้ง,Iphone,ใช้งานเสถียร
1/13/2024 15:02:35,ชาย,36-40 ปี,เอกชน,"มากกว่า 60,000 บาท",IOS,น้อยที่สุด,บ่อยครั้ง,บ่อยที่สุด,บ่อยครั้ง,Iphone,It is important that smartphones are stable.
1/13/2024 15:02:36,ชาย,26-30 ปี,เอกชน,"30,001-40,000 บาท",Android,น้อยที่สุด,ปานกลาง,ค่อนข้างน้อย,บ่อยครั้ง,Oneplus,อยากลองยี่ห้อใหม่ ๆ (ที่ไม่เคยใช้)
1/13/2024 15:02:46,หญิง,31-35 ปี,ข้าราชการ,"20,001-30,000 บาท",IOS,น้อยที่สุด,บ่อยครั้ง,บ่อยครั้ง,บ่อยครั้ง,Iphone,ความเร็ว
1/13/2024 15:02:49,ชาย,26-30 ปี,เอกชน,"20,001-30,000 บาท",Android,บ่อยที่สุด,ปานกลาง,บ่อยครั้ง,ค่อนข้างน้อย,Iphone,อยากลองเปลี่ยนระบบปฏิบัติการ
1/13/2024 15:03:29,ชาย,31-35 ปี,เอกชน,"50,001-60,000 บาท",Android,ปานกลาง,บ่อยที่สุด,ปานกลาง,น้อยที่สุด,Iphone,อยากลองเปลี่ยน ไปใช้ IOS บ้าง
1/13/2024 15:03:52,ชาย,26-30 ปี,ข้าราชการ,"20,001-30,000 บาท",Android,ปานกลาง,ค่อนข้างน้อย,ปานกลาง,น้อยที่สุด,Iphone,ในนี้มืดจังเลยนะฮะ
1/13/2024 15:03:52,หญิง,21-25 ปี,นักศึกษา,"20,001-30,000 บาท",IOS,น้อยที่สุด,บ่อยที่สุด,บ่อยครั้ง,บ่อยครั้ง,Iphone,อายุการใช้งานนาน
1/13/2024 15:03:55,หญิง,26-30 ปี,ว่างงาน,"20,001-30,000 บาท",IOS,ปานกลาง,บ่อยครั้ง,บ่อยที่สุด,บ่อยครั้ง,Iphone,จากที่เคยใช้งาน iPhone รู้สึกว่าอายุการใช้งานแบตเตอรี่ไม่เสื่อมไวแบบ Android 
1/13/2024 15:03:57,ชาย,26-30 ปี,เอกชน,"40,001-50,000 บาท",IOS,ค่อนข้างน้อย,บ่อยครั้ง,ปานกลาง,ค่อนข้างน้อย,Iphone,ทนทานและคุ้นชินกับการใช้งาน
1/13/2024 15:04:00,ชาย,26-30 ปี,เอกชน,"20,001-30,000 บาท",Android,ค่อนข้างน้อย,บ่อยครั้ง,บ่อยครั้ง,บ่อยครั้ง,Iphone,Hi class brand
1/13/2024 15:04:34,ชาย,26-30 ปี,เอกชน,"50,001-60,000 บาท",IOS,น้อยที่สุด,บ่อยครั้ง,บ่อยครั้ง,ค่อนข้างน้อย,Iphone,ไหลลื่น ชินกับระบบ
1/13/2024 15:04:50,ชาย,21-25 ปี,เอกชน,"20,001-30,000 บาท",IOS,ค่อนข้างน้อย,บ่อยที่สุด,บ่อยครั้ง,ปานกลาง,Iphone,ปลอดภัย ใช้งานง่าย 
1/13/2024 15:05:03,ชาย,26-30 ปี,นักศึกษา,"น้อยกว่า 20,000 บาท",IOS,บ่อยครั้ง,บ่อยครั้ง,บ่อยครั้ง,บ่อยครั้ง,Iphone,ความชอบ
1/13/2024 15:05:45,หญิง,36-40 ปี,เอกชน,"50,001-60,000 บาท",IOS,บ่อยที่สุด,บ่อยที่สุด,บ่อยที่สุด,บ่อยที่สุด,Iphone,ชอบแบรนด์
1/13/2024 15:05:55,ชาย,26-30 ปี,เอกชน,"20,001-30,000 บาท",IOS,น้อยที่สุด,บ่อยครั้ง,ค่อนข้างน้อย,น้อยที่สุด,Iphone,พอใจในการใช้งาน
1/13/2024 15:06:02,ชาย,26-30 ปี,นักศึกษา,"20,001-30,000 บาท",Android,บ่อยที่สุด,บ่อยครั้ง,ปานกลาง,ค่อนข้างน้อย,Samsung,-
8/17/2024 15:02:26,หญิง,26-30 ปี,เอกชน,"50,001-60,000 บาท",IOS,น้อยที่สุด,บ่อยครั้ง,บ่อยที่สุด,ปานกลาง,Iphone,ความปลอดภัย
8/17/2024 15:02:54,หญิง,26-30 ปี,เอกชน,"มากกว่า 60,000 บาท",IOS,น้อยที่สุด,บ่อยที่สุด,ปานกลาง,ปานกลาง,Iphone,ความเคยชิน
8/17/2024 15:02:56,ชาย,31-35 ปี,เอกชน,"มากกว่า 60,000 บาท",IOS,ค่อนข้างน้อย,บ่อยที่สุด,บ่อยครั้ง,ปานกลาง,Samsung,ความเคยชิน
8/17/2024 15:03:03,หญิง,26-30 ปี,เอกชน,"20,001-30,000 บาท",Android,ปานกลาง,บ่อยที่สุด,บ่อยครั้ง,บ่อยที่สุด,Samsung,Design 
8/17/2024 15:03:10,หญิง,26-30 ปี,เอกชน,"30,001-40,000 บาท",IOS,น้อยที่สุด,บ่อยที่สุด,บ่อยครั้ง,บ่อยที่สุด,Iphone,ทน
8/17/2024 15:03:33,ชาย,21-25 ปี,นักศึกษา,"น้อยกว่า 20,000 บาท",IOS,ค่อนข้างน้อย,บ่อยครั้ง,ปานกลาง,บ่อยครั้ง,Iphone,ถนัดและสะดวกเพราะใช้มานาน รู้เกี่ยวกับฟังก์ชันต่างๆ
8/17/2024 15:03:45,หญิง,21-25 ปี,เอกชน,"30,001-40,000 บาท",IOS,ค่อนข้างน้อย,บ่อยครั้ง,บ่อยครั้ง,ค่อนข้างน้อย,Iphone,ระบบเสถียร
8/17/2024 15:03:46,หญิง,31-35 ปี,นักศึกษา,"น้อยกว่า 20,000 บาท",Android,น้อยที่สุด,ค่อนข้างน้อย,บ่อยครั้ง,บ่อยครั้ง,Oppo,ราคาถูก
8/17/2024 15:03:52,ชาย,31-35 ปี,เอกชน,"มากกว่า 60,000 บาท",IOS,ปานกลาง,บ่อยครั้ง,ค่อนข้างน้อย,ค่อนข้างน้อย,Iphone,ความสเถียร
8/17/2024 15:03:57,ชาย,26-30 ปี,เอกชน,"30,001-40,000 บาท",IOS,ค่อนข้างน้อย,บ่อยครั้ง,บ่อยครั้ง,ค่อนข้างน้อย,Iphone,คุ้นเคยกับแบรนด์เดิม
8/17/2024 15:04:00,ชาย,26-30 ปี,นักศึกษา,"น้อยกว่า 20,000 บาท",IOS,ค่อนข้างน้อย,บ่อยที่สุด,น้อยที่สุด,ปานกลาง,Iphone,Data Privacy
8/17/2024 15:04:07,หญิง,21-25 ปี,เอกชน,"20,001-30,000 บาท",IOS,ปานกลาง,บ่อยที่สุด,บ่อยครั้ง,บ่อยครั้ง,Iphone,ใช้งานสะดวก ลื่นไหล
8/17/2024 15:04:10,ชาย,26-30 ปี,เอกชน,"20,001-30,000 บาท",Android,น้อยที่สุด,น้อยที่สุด,น้อยที่สุด,น้อยที่สุด,Google,ยังไม่เคยลองใช้ brand นี้
8/17/2024 15:04:11,หญิง,26-30 ปี,เอกชน,"40,001-50,000 บาท",IOS,น้อยที่สุด,บ่อยที่สุด,บ่อยที่สุด,บ่อยที่สุด,Iphone,"ใช้งานง่าย, รวดเร็ว"
8/17/2024 15:04:15,หญิง,21-25 ปี,เอกชน,"30,001-40,000 บาท",Android,น้อยที่สุด,บ่อยที่สุด,ค่อนข้างน้อย,บ่อยที่สุด,Samsung,กล้องสวย
8/17/2024 15:04:18,ชาย,21-25 ปี,ข้าราชการ,"20,001-30,000 บาท",IOS,บ่อยครั้ง,บ่อยที่สุด,บ่อยครั้ง,ปานกลาง,ยังไม่รู้,รอดูอนาคต
8/17/2024 15:04:20,ชาย,21-25 ปี,เอกชน,"20,001-30,000 บาท",IOS,น้อยที่สุด,บ่อยครั้ง,บ่อยครั้ง,บ่อยครั้ง,Iphone,VDO ใน IG จะชัดมาก
8/17/2024 15:04:24,หญิง,26-30 ปี,Freelancer,"30,001-40,000 บาท",IOS,น้อยที่สุด,บ่อยครั้ง,บ่อยที่สุด,ปานกลาง,Iphone,Sync ข้อมูลจากเครื่องเก่าง่าย
8/17/2024 15:04:25,หญิง,21-25 ปี,เอกชน,"20,001-30,000 บาท",IOS,น้อยที่สุด,บ่อยที่สุด,บ่อยครั้ง,ปานกลาง,Iphone,เคยชินกับระบบของios
8/17/2024 15:04:33,ชาย,26-30 ปี,เอกชน,"30,001-40,000 บาท",IOS,น้อยที่สุด,บ่อยที่สุด,บ่อยครั้ง,บ่อยครั้ง,Iphone,ใช้กับอุปกรณ์ต่างๆของ ios ได้ง่าย
8/17/2024 15:04:45,หญิง,26-30 ปี,รัฐวิสาหกิจ,"20,001-30,000 บาท",IOS,ค่อนข้างน้อย,บ่อยที่สุด,ปานกลาง,บ่อยครั้ง,Iphone,ระบบเสถียร ปลอดภัย และทน
8/17/2024 15:04:49,หญิง,26-30 ปี,รัฐวิสาหกิจ,"30,001-40,000 บาท",IOS,น้อยที่สุด,บ่อยครั้ง,บ่อยที่สุด,ค่อนข้างน้อย,Iphone,ระบบมีความปลอดภัย design ทันสมัย
8/17/2024 15:04:55,หญิง,31-35 ปี,เอกชน,"50,001-60,000 บาท",IOS,น้อยที่สุด,บ่อยที่สุด,บ่อยครั้ง,ปานกลาง,ยังไม่รู้,ยังคิดไม่ออก
8/17/2024 15:05:14,หญิง,31-35 ปี,เอกชน,"40,001-50,000 บาท",IOS,ค่อนข้างน้อย,บ่อยครั้ง,บ่อยครั้ง,ปานกลาง,Iphone,ใช้ได้นาน ไม่ต้องเปลี่ยนเครื่องบ่อย
8/17/2024 15:05:18,ชาย,26-30 ปี,เอกชน,"50,001-60,000 บาท",IOS,บ่อยครั้ง,บ่อยที่สุด,บ่อยครั้ง,บ่อยครั้ง,Iphone,Stable Operating System
8/17/2024 15:05:20,ชาย,26-30 ปี,ข้าราชการ,"น้อยกว่า 20,000 บาท",IOS,บ่อยครั้ง,บ่อยครั้ง,ปานกลาง,ค่อนข้างน้อย,Iphone,Design
8/17/2024 15:05:40,ชาย,26-30 ปี,เอกชน,"20,001-30,000 บาท",IOS,น้อยที่สุด,บ่อยที่สุด,บ่อยที่สุด,ปานกลาง,Iphone,ความเสถียรของระบบ
8/17/2024 15:07:05,ชาย,31-35 ปี,นักศึกษา,"น้อยกว่า 20,000 บาท",IOS,ปานกลาง,ปานกลาง,ค่อนข้างน้อย,ค่อนข้างน้อย,Nokia,ย้อนวัย
8/17/2024 15:07:39,หญิง,26-30 ปี,เอกชน,"30,001-40,000 บาท",Android,ปานกลาง,บ่อยที่สุด,ค่อนข้างน้อย,บ่อยครั้ง,Google,เป็นแบรนด์ที่น่าสนใจ
8/17/2024 15:08:53,ชาย,31-35 ปี,เอกชน,"มากกว่า 60,000 บาท",IOS,ปานกลาง,บ่อยครั้ง,ปานกลาง,ปานกลาง,Iphone,เพราะรู้สึกยุ่งยากในการย้ายข้อมูลส่วนตัว เเละ data ที่เก็บไว้ใน cloud
8/17/2024 15:09:15,หญิง,21-25 ปี,นักศึกษา,"น้อยกว่า 20,000 บาท",Android,น้อยที่สุด,บ่อยที่สุด,บ่อยครั้ง,ปานกลาง,Samsung,ฟังก์ชั่นใหม่น่าใช้ และคุ้นเคยที่สุด
8/17/2024 15:24:35,ชาย,26-30 ปี,เอกชน,"40,001-50,000 บาท",IOS,ค่อนข้างน้อย,บ่อยครั้ง,ปานกลาง,บ่อยที่สุด,Iphone,Ecosystem ดี
8/17/2024 15:50:27,ชาย,31-35 ปี,ข้าราชการ,"20,001-30,000 บาท",Android,ปานกลาง,ปานกลาง,ปานกลาง,ค่อนข้างน้อย,Samsung,ใช้ง่าย